"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
6710,"Füzér               ","utca","Szentmihály",0,,0,
6725,"Füzes               ","utca",,0,,0,
6710,"Gábor               ","köz","Szentmihály",0,,0,
6727,"Gábor Áron          ","utca",,0,,0,
6721,"Gál                 ","utca",,1,,9,
6721,"Gál                 ","utca",,2,,12,
6723,"Gál                 ","utca",,-3,,0,
6791,"Galagonya           ","utca","Kiskundorozsma",0,,0,
6725,"Galamb              ","utca",,0,,0,
6728,"Galgóci             ","utca",,0,,0,
6728,"Gallé László","utca","Baktó",0,,0,
6724,"Garam               ","utca",,0,,0,
6710,"Gárdonyi Géza       ","utca","Szentmihály",0,,0,
6723,"Gáspár Zoltán       ","utca",,0,,0,
6723,"Gát                 ","utca",,0,,0,
6723,"Gáz                 ","utca",,0,,0,
6726,"Gébics              ","utca",,0,,0,
6724,"Gellei József","utca",,0,,0,
6723,"Gém                 ","utca",,0,,0,
6725,"Gép                 ","utca",,0,,0,
6729,"Gera Sándor         ","utca",,0,,0,
6724,"Gergely köz","köz",,0,,0,
6727,"Gerle               ","utca",,0,,0,
6791,"Gesztenye           ","utca","Kiskundorozsma",0,,0,
6726,"Gizella             ","utca",,0,,0,
6721,"Glattfelder Gyula","TÉR",,0,,0,
6722,"Gogol               ","utca",,0,,0,
6725,"Gólya               ","utca",,0,,0,
6791,"Gólyahír","utca","Kiskundorozsma",0,,0,
6728,"Gomba               ","utca",,0,,0,
6710,"Gorkij              ","utca","Szentmihály",0,,0,
6724,"Gömöri              ","utca",,0,,0,
6727,"Göndör              ","sor",,0,,0,
6725,"Gőz                 ","utca",,0,,0,
6771,"Gőzmalom            ","utca","Szőreg",0,,0,
6726,"Gulácsy","park",,0,,0,
6722,"Guttenberg          ","utca",,0,,0,
6729,"Gyálai","út",,0,,0,
6757,"Gyálaréti","tanyák","Gyálarét",0,,0,
6757,"Gyálaréti           ","út","Gyálarét",0,,0,
6791,"Gyalu               ","utca","Kiskundorozsma",0,,0,
6771,"Gyár                ","utca","Szőreg",0,,0,
