"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
3533,"Kabar                  ","utca",,0,,0,
3532,"Kabók Lajos            ","utca",,0,,0,
3534,"Kacsóh Pongrác         ","utca",,0,,0,
3516,"Kaffka Margit          ","utca       ","Görömböly",0,,0,
3510,"Kála","út","Pereces",0,,0,
3532,"Kalapács               ","utca",,0,,0,
3531,"Kalló                  ","utca",,0,,0,
3516,"Kálmán Imre            ","utca       ","Görömböly",0,,0,
3508,"Kalocsay Kálmán (Dr)        ","utca       ","Hejőcsaba",0,,0,
3530,"Kálvin János           ","utca",,0,,0,
3501,"Kánás                  ","dűlő",,0,,0,
3530,"Kandia                 ","utca",,0,,0,
3527,"Kandó Kálmán           ","tér",,0,,0,
3534,"Kandó Kálmán           ","utca",,0,,0,
3529,"Kankalin               ","utca",,0,,0,
3535,"Kankós                 ","dűlő",,0,,0,
3508,"Kapitány               ","utca",,0,,0,
3508,"Káplár                 ","utca",,0,,0,
3528,"Kapos                  ","utca",,0,,0,
3521,"Kaptár                 ","utca",,0,,0,
3535,"Karabély               ","utca",,0,,0,
3531,"Karacs Teréz           ","utca",,0,,0,
3535,"Karinthy Frigyes       ","utca",,0,,0,
3508,"Károli Gáspár          ","tér      ","Hejőcsaba",0,,0,
3532,"Károly                 ","utca",,0,,0,
3519,"Károlyi Mihály         ","utca       ","Tapolca",0,,0,
3534,"Kárpáti                ","utca",,0,,0,
3516,"Kárpitos               ","utca       ","Görömböly",0,,0,
3527,"Kartács                ","utca",,0,,0,
3526,"Kassai                 ","utca",,0,,0,
3521,"Kassák Lajos           ","utca       ","Szirma",0,,0,
3527,"Katalin                ","utca",,1,,3,
3530,"Katalin                ","utca",,-3,,0,
3519,"Katona József          ","utca       ","Tapolca",0,,0,
3526,"Katowice               ","utca",,0,,0,
3532,"Kavics                 ","utca",,0,,0,
3525,"Kazinczy Ferenc        ","utca",,0,,0,
3508,"Kázmér                 ","utca",,0,,0,
3521,"Kelet                  ","utca       ","Szirma",0,,0,
3534,"Kemény                 ","utca",,0,,0,
3534,"Kempelen Farkas        ","utca",,0,,0,
3532,"Kerekhegy",,,0,,0,
3533,"Kerpely Antal          ","utca",,0,,0,
3508,"Kertész                ","utca",,0,,0,
3519,"Késmárki               ","utca       ","Tapolca",0,,0,
3533,"Kilencedik             ","utca",,0,,0,
3527,"Kinizsi Pál            ","utca",,1,,9,
3527,"Kinizsi Pál            ","utca",,2,,16,
3529,"Kinizsi Pál            ","utca",,-3,,0,
3530,"Király                 ","utca",,0,,0,
3530,"Kisavas                ","sor",,0,,0,
3530,"Kisavas első sor",,,0,,0,
3530,"Kisavas harmadik sor               ",,,0,,0,
3530,"Kisavas második sor             ",,,0,,0,
3530,"Kisavas negyedik sor               ",,,0,,0,
3535,"Kisbakos",,,0,,0,
3519,"Kisbenedek             ","utca",,0,,0,
3518,"Kiserenyő",,,0,,0,
3528,"Kisfaludy Károly       ","utca",,0,,0,
3532,"Kishajtás              ","dűlő",,0,,0,
3519,"Kishonti               ","utca",,0,,0,
3525,"Kis-Hunyad             ","utca",,0,,0,
3532,"Kiskirályhegy","hegy",,0,,0,
3501,"Kiskőbánya             ","dűlő",,0,,0,
3525,"Kiskőbánya TSZ         ","tanya",,0,,0,
3525,"Kiskőbányaszőlő        ","dűlő",,0,,0,
3519,"Kiskőkötő              ","dűlő",,0,,0,
3533,"Kismagashegy","hegy",,0,,0,
3531,"Kiss Ernő              ","utca",,0,,0,
3519,"Kiss József            ","utca       ","Tapolca",0,,0,
