"IRSZ.","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
7634,"Jázmin              ","utca",,0,,0,
7633,"Jedlik Ányos        ","utca",,0,,0,
7632,"Jegenyés            ","utca",,0,,0,
7622,"Jogász              ","utca",,0,,0,
7621,"Jókai               ","tér",,0,,0,
7621,"Jókai               ","utca",,1,,25,
7621,"Jókai               ","utca",,2,,10,
7622,"Jókai               ","utca",,-3,,0,
7623,"Jókai               ","utca",,12,,48,
7628,"Jószerencse         ","utca",,0,,0,
7621,"József              ","utca",,0,,0,
7623,"József Attila       ","utca",,0,,0,
7693,"József Attila       ","tér","Hird",0,,0,
7628,"Józsefháza",,,0,,0,
7625,"Juhász Gyula        ","utca",,0,,0,
7693,"Juhász Gyula        ","tér","Hird",0,,0,
7632,"Júlia               ","utca",,0,,0,
7624,"Jurisics Miklós     ","utca",,0,,0,
7634,"Kacs                ","dűlő",,0,,0,
7624,"Kacsóh Pongrác      ","utca",,0,,0,
7628,"Kacsoló","dülő",,0,,0,
7623,"Kaffka Margit       ","utca",,0,,0,
7630,"Kakukk              ","utca",,0,,0,
7627,"Kalapács            ","utca",,0,,0,
7625,"Kálmán              ","utca",,0,,0,
7625,"Kálvária            ","utca",,0,,0,
7623,"Kálvin              ","utca",,0,,0,
7632,"Kamilla             ","utca",,0,,0,
7634,"Kamilla             ","köz",,0,,0,
7623,"Kandó Kálmán        ","utca",,0,,0,
7631,"Kanizsai Dorottya   ","út",,0,,0,
7635,"Kantavári","erdészház",,0,,0,
7627,"Kanyar              ","utca",,0,,0,
7628,"Kápa","köz",,0,,0,
7634,"Kápolna","domb",,0,,0,
7693,"Kápolna             ","tér","Hird",0,,0,
7625,"Kaposvári           ","út",,0,,0,
7627,"Káposztásvölgyi     ","út",,0,,0,
7621,"Káptalan            ","utca",,0,,0,
7631,"Kaptató             ","utca",,0,,0,
7627,"Kapu","dülő",,0,,0,
7627,"Kapu","köz",,0,,0,
7630,"Karancs             ","utca",,0,,0,
7635,"Kardos úti            ","menedékház",,0,,0,
7634,"Karó                ","dűlő",,0,,0,
7632,"Karolina            ","utca",,0,,0,
7627,"Károly              ","tér",,0,,0,
7627,"Károly              ","utca",,0,,0,
